shot,injection_time,duration,thermal_quench_time,vetted,notes
1120106009,1.419925259590149,0.0083008537292479,1.4284259092933025,0,
1120106022,1.022206114768982,0.0009999999999998,1.0234101349261076,1,Fe and Ca injections
1120118001,1.1411611309051517,0.0049541721343993,1.1467081640341859,0,
1120125008,0.7635446062088013,0.0035665163993835,0.7678791314730729,1,Mo injection
1120131008,1.445440100669861,0.0031638870239256,1.4537097074757726,0,
1120131010,1.1470923891067506,0.0015257129669188,1.1486340704560802,0,
1120207010,0.9375249614715576,0.0029770860671997,0.9454333283327954,0,
1120210016,0.8722823133468628,0.0089082250595092,0.8817024104653579,0,
1120210022,1.2261742820739747,0.001130772590637,1.2359312617529994,0,
1120216027,1.453524040222168,0.0009999999999998,1.4549583128415302,0,
1120222008,0.90589218044281,0.0055678615570068,0.9120179492499877,0,
1120222010,0.6488757004737854,0.0089081654548645,0.6581727769173287,0,
1120223007,1.0047446956634525,0.0067194232940672,1.011627767321869,0,
1120501008,1.3108001222610477,0.0013873109817503,1.3165180521503062,0,
1120607006,1.2400136461257936,0.0029770860671995,1.24313617096243,1,Mo injection betweeen CaF2 Laser Blow-off (LBO) injections scheduled every 0.1s
1120615013,1.2281513681411744,0.0022366771697996,1.230405942715089,0,
1120626008,1.204426812171936,0.0070333013534544,1.212908916988897,0,
1120626020,1.3092104663848878,0.0010696182250975,1.3134339375695305,0,
1120705009,0.9454331865310668,0.0082388648986816,0.9548966673099006,0,
1120710027,0.9157774319648744,0.0015466341972351,0.9196755257663473,0,
1120711016,0.933570848941803,0.0069311985969543,0.942954121335919,0,
1120713018,1.0897578468322755,0.0029770860671995,1.0972984450881889,0,
1120713020,0.9236856570243837,0.0074504742622375,0.9312008346353438,0,
1120718012,0.6464601030349731,0.0014385113716125,0.6489228122272189,0,
1120724010,0.9750889410972596,0.001335156917572,0.9768788044531879,0,
1120727010,0.680508481502533,0.0057476291656494,0.6871653941273633,0,
1120731002,0.807039665222168,0.0013524422645568,0.8088778420308373,1,Fe injection
1120731004,0.7101642360687256,0.0054718384742736,0.7170166152787247,0,
1120801012,0.7635446062088013,0.0069311389923095,0.7704807055428728,0,
1120803008,0.5520002117156982,0.0036478767395019,0.5561693310675193,1,Fe injection
1120824007,1.186633275985718,0.0089082250595091,1.196631135693217,0,
1120824015,1.4377186765670775,0.0033974180221556,1.4416735202231594,0,
1120824024,0.6192199459075928,0.0069311389923095,0.6284576057109234,0,
1120828014,0.5737478008270264,0.0054522881507873,0.5793912509183865,0,
1120829007,0.6192199459075928,0.0083121190071105,0.6283883417327495,0,
1120830023,0.8505347838401794,0.0056733021736145,0.8603805720149459,0,
1120831001,0.6706232299804687,0.0037768611907958,0.6746363043389693,1,Fe injection
1120831013,0.3167312910556793,0.0029770562648773,0.31997140480809805,1,Mo injection
1120906002,0.6666691174507141,0.004974974155426,0.674633011625901,0,
1120906003,1.079872654914856,0.0049540529251097,1.0867226411113053,0,
1120907017,0.654806839466095,0.0023692378997802,0.6573938519915165,0,
1120907022,1.2637383213043214,0.001941753387451,1.2656984747754496,0,
1120907025,1.1823361387252809,0.0009999999999998,1.1837478676742843,0,
1120914018,1.2333560457229615,0.0017264614105223,1.237379885715889,0,
1120917014,0.755636381149292,0.0017997155189514,0.7574367080837685,0,
1120927005,0.4056985249519348,0.0060375461578369,0.412180545902117,0,
1120927006,0.3285935988426208,0.0049540827274322,0.334714611935532,0,
1120927011,1.2933940162658693,0.0028581151962279,1.2962545603169005,1,Mo injection
1120927014,1.2676923742294313,0.0029770860671995,1.2707121594524986,0,
1140328012,1.166862892150879,0.0069311389923094,1.1760068250350322,0,
1140415009,1.2980918159484864,0.0022333393096922,1.3036793207350672,0,
1140522001,0.6073576083183289,0.005402220249176,0.6129774293360591,0,
1140522003,0.9671807160377502,0.0052871832847595,0.9726726223687494,1,Shortly after ICRF turned on
1140522005,0.8090167512893677,0.0010231266021728,0.8101255881336238,0,
1140522007,1.1905874481201173,0.0014483461380003,1.192175640747502,0,
1140522018,0.8363918533325195,0.001,0.8376796276359789,1,Impurity unclear based on spectrum. Some Mo present before large injection
1140522020,0.8366954197883606,0.0031204352378845,0.8399574241542863,1,Impurity unclear based on spectrum. Some Mo present before large injection
1140523024,1.0126529207229615,0.0039349327087401,1.0194518406759838,0,
1140605022,1.3408432474136354,0.0039885768890379,1.345182265850002,1,Mo injection
1140606001,0.5381609072685242,0.0068589577674865,0.5454511249470774,0,
1140613025,0.7655216326713562,0.0089082250595092,0.7749445857932222,0,
1140625018,1.1035972108840943,0.0069427022933958,1.1109140540911724,0,
1140701029,1.4831908216476442,0.0068209896087645,1.4909496705922098,0,
1140717002,1.0264922847747804,0.0027675161361693,1.0299513017105804,0,
1140722018,0.5243215432167053,0.0013663301467895,0.5258849562091255,0,
1140731037,1.0502168407440189,0.0029770860671995,1.057170009345997,0,
1150616015,0.9671807160377502,0.0049540529251098,0.9762238050766213,0,
1150714014,0.9236856570243837,0.0089184174537658,0.9334469498586647,0,
1150714029,0.8011085262298584,0.0059995779991149,0.8071445797528044,0,
1150722005,1.3902694454193116,0.0059026012420653,1.3962220091855917,0,
1150722007,0.9810200800895692,0.0076600441932678,0.9889050435699798,0,
1150728029,0.9533413519859314,0.0035027394294738,0.9569324570027306,0,
1150729004,1.3487514724731446,0.0014086494445799,1.358405782799297,0,
1150729008,0.5559543242454529,0.0076977739334106,0.5636592848301419,0,
1150826017,0.59914808177948,0.001,0.6001501776032747,0,
1150827008,1.4733056297302247,0.0049540529251097,1.4824545155050692,0,
